pedestrianId evacuationTime-PID1
1 29.999999999999957
2 29.999999999999893
3 30.000000000000355
4 30.000000000000426
5 30.000000000000426
6 30.000000000000426
7 30.400000000000432
8 30.000000000000426
9 30.39999999999941
10 29.999999999998295
11 30.399999999998272
12 29.999999999998295
13 29.999999999998295
14 29.999999999998295
15 30.399999999998272
16 30.399999999998272
17 30.399999999998272
18 30.39999999999833
19 29.999999999998295
20 29.999999999998295
21 30.399999999998272
22 30.399999999998272
23 30.399999999998272
24 30.79999999999825
25 30.399999999998272
26 30.399999999998272
27 30.399999999998272
28 30.399999999998272
29 29.999999999998295
30 29.999999999998295
31 30.399999999998272
32 29.999999999998295
33 30.399999999998272
34 29.999999999998295
35 30.400000000005775
36 30.00000000000682
37 30.400000000006912
38 30.00000000000682
39 30.400000000006912
40 30.00000000000682
